sample,template,parse_status,parse_summary,list_status,list_count,error
"2013 Brown Ford C-Max for sale for £995 in Romford, Essex.html",detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
"2015 Black MINI Hatch for sale for £4,995 in Harrow, Middlesex.html",detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_html_table.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': '45,000 miles', 'year': None}",error,0,NotImplementedError()
car_hybrid.html,detail_hybrid_json_html,ok,"{'name': '2018 Sample Hybrid', 'brand': 'SampleBrand', 'model': 'S-Model', 'price': '12995', 'currency': 'GBP', 'mileage': '30,000 miles', 'year': 2018}",error,0,NotImplementedError()
car_jsonld.html,detail_hybrid_json_html,ok,"{'name': '2014 Fiat 500c 1.2 Lounge', 'brand': 'Fiat', 'model': '500c', 'price': '4995', 'currency': 'GBP', 'mileage': None, 'year': 2014}",error,0,NotImplementedError()
car_meta.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_microdata.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
Ford EcoSport details _ carwow.co.uk.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
listing_card.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
listing_grid.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
listing_section.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
New Car Deals _ 75 Plates In Stock _ Autotrader.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
Subaru Outback details _ carwow.co.uk.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
Used Cars for Sale _ Second Hand Cars _ Carwow.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
Used cars for sale. Barnoldswick & Lancashire car Dealer _ Anyvehicle.co.uk.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
Used Ford Cars For Sale _ Autotrader UK.html,detail_hybrid_json_html,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
"2013 Brown Ford C-Max for sale for £995 in Romford, Essex.html",detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
"2015 Black MINI Hatch for sale for £4,995 in Harrow, Middlesex.html",detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_html_table.html,detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_hybrid.html,detail_jsonld_vehicle,ok,"{'name': '2018 Sample Hybrid', 'brand': 'SampleBrand', 'model': 'S-Model', 'price': 12995, 'currency': 'GBP', 'mileage': None, 'year': 2018}",error,0,NotImplementedError()
car_jsonld.html,detail_jsonld_vehicle,ok,"{'name': '2014 Fiat 500c 1.2 Lounge', 'brand': 'Fiat', 'model': '500c', 'price': 4995, 'currency': 'GBP', 'mileage': None, 'year': 2014}",error,0,NotImplementedError()
car_meta.html,detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': '7995', 'currency': 'GBP', 'mileage': None, 'year': 2017}",error,0,NotImplementedError()
car_microdata.html,detail_jsonld_vehicle,ok,"{'name': '2016 Micro Car', 'brand': 'MicroBrand', 'model': 'M1', 'price': '5995', 'currency': None, 'mileage': None, 'year': 2016}",error,0,NotImplementedError()
Ford EcoSport details _ carwow.co.uk.html,detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
listing_card.html,detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
listing_grid.html,detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
listing_section.html,detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
New Car Deals _ 75 Plates In Stock _ Autotrader.html,detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': 1975}",error,0,NotImplementedError()
Subaru Outback details _ carwow.co.uk.html,detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
Used Cars for Sale _ Second Hand Cars _ Carwow.html,detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
Used cars for sale. Barnoldswick & Lancashire car Dealer _ Anyvehicle.co.uk.html,detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
Used Ford Cars For Sale _ Autotrader UK.html,detail_jsonld_vehicle,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
"2013 Brown Ford C-Max for sale for £995 in Romford, Essex.html",detail_inline_html_blocks,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
"2015 Black MINI Hatch for sale for £4,995 in Harrow, Middlesex.html",detail_inline_html_blocks,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_html_table.html,detail_inline_html_blocks,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_hybrid.html,detail_inline_html_blocks,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_jsonld.html,detail_inline_html_blocks,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_meta.html,detail_inline_html_blocks,ok,"{'name': None, 'brand': None, 'model': None, 'price': None, 'currency': None, 'mileage': None, 'year': None}",error,0,NotImplementedError()
car_microdata.html,detail_inline_html_blocks,ok,"{'name': '2016 Micro Car', 'brand': 'MicroBrand', 'model': 'M1', 'price': '5995', 'currency': None, 'mileage': None, 'year': 2016}",error,0,NotImplementedError()
